Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
224,0.0285133,0.00647615,0.00990932,0.0353621,0.031612,0.0484362,0.0314765,0.0416479,0.0156496,0.0121994,0.0116886,0.0366807,0.0187826,0.0261107,0.0151385,0.0112441,0.0176346,0.00965026,0.0151262,0.0117214,0.0176086,0.0141207,0.0293927,0.0199678,0.0292853,0.0312295,0.00617565,0.0117193,0.0117452,0.0273412,0.0110013,0.00933587,0.023156,0.0093812,0.0122187,0.0106226,0.0130884,0.0113914,0.0533001
225,0.0285249,0.00593749,0.00997113,0.0347827,0.0315931,0.051547,0.0315595,0.0425611,0.0184777,0.012161,0.0117371,0.0362854,0.0176184,0.0260123,0.0151405,0.011008,0.0193753,0.009259,0.015961,0.011342,0.0173728,0.0129676,0.0293167,0.0208013,0.0292891,0.0321147,0.0071484,0.0114985,0.0116314,0.0268594,0.00997337,0.00936634,0.0231705,0.00942627,0.014055,0.0105593,0.012968,0.0106012,0.0524985
226,0.0285268,0.00530587,0.00996867,0.0341132,0.0314415,0.0534263,0.0315195,0.0428473,0.0206815,0.0121078,0.01171,0.0358255,0.0162626,0.0259439,0.0150907,0.0107504,0.0213696,0.00858807,0.0164316,0.0109377,0.0170383,0.0119569,0.0291503,0.0214002,0.0292578,0.0324012,0.00786926,0.0112619,0.0114745,0.0262285,0.00903191,0.00911231,0.0231167,0.00941993,0.0153893,0.0101597,0.0124936,0.00992175,0.0520112
227,0.0285139,0.00479899,0.00993731,0.0338018,0.0312312,0.0541099,0.0314757,0.0423661,0.0217619,0.0120511,0.0116297,0.0353863,0.0148226,0.025915,0.0149916,0.0105044,0.0232029,0.00773389,0.0162743,0.0105502,0.0168391,0.0111498,0.0289036,0.0216912,0.0290943,0.0323502,0.00827681,0.0110433,0.0113468,0.0255308,0.00817716,0.00882772,0.0230264,0.00940639,0.0161939,0.009647,0.0117926,0.00959805,0.0519289
228,0.0284615,0.0046492,0.00990837,0.0336771,0.0310138,0.0538586,0.0315199,0.0413308,0.0217792,0.0120083,0.0115026,0.0350388,0.0134534,0.0256099,0.0148279,0.0103076,0.0246355,0.00681791,0.0155402,0.0102031,0.0170668,0.0106102,0.0285993,0.0216493,0.0289613,0.0321926,0.00832648,0.0108528,0.0112786,0.0248621,0.00730911,0.00855357,0.0229165,0.00939336,0.0165333,0.00917808,0.0110008,0.00970686,0.0520768
229,0.028344,0.00484392,0.00987522,0.0335889,0.0307674,0.0527027,0.0316679,0.0399986,0.0210829,0.011971,0.0113204,0.0348497,0.0123785,0.0252498,0.0146317,0.0101919,0.0254869,0.00588758,0.0144552,0.00989119,0.017726,0.0103261,0.0282176,0.0212742,0.0289347,0.0317482,0.00798382,0.010681,0.0112323,0.0242789,0.00659784,0.00824462,0.0227805,0.00939251,0.0164303,0.00886364,0.0098784,0.0102122,0.0519438
230,0.0281472,0.00527683,0.00983861,0.0335618,0.0305296,0.050936,0.0319317,0.0386036,0.0200197,0.0119471,0.0111047,0.0348171,0.0117721,0.0249229,0.0144192,0.0101674,0.0257291,0.00506449,0.0130873,0.00962142,0.0179465,0.0103179,0.0277338,0.0205909,0.0289531,0.0310435,0.00735993,0.0105146,0.0111634,0.0237992,0.00610849,0.00789076,0.0225966,0.00939096,0.0159632,0.00879086,0.00867184,0.0109627,0.0519755
231,0.0278766,0.00592059,0.00979931,0.0335791,0.0302354,0.0490061,0.0322684,0.0373859,0.0188816,0.0119169,0.0108742,0.0348996,0.0116499,0.0246693,0.0141708,0.0101448,0.0254156,0.00443996,0.0114888,0.00940273,0.0179505,0.010642,0.02726,0.0196953,0.0289624,0.030381,0.00653295,0.0103745,0.0110294,0.0234393,0.00596061,0.00750462,0.022328,0.00938353,0.0152207,0.00898372,0.00777879,0.0117982,0.052474
232,0.0275746,0.00676235,0.00973862,0.0335247,0.0298798,0.0469125,0.0326363,0.0364705,0.0178025,0.011876,0.0106686,0.0350712,0.0119312,0.0244666,0.0139072,0.0101137,0.0246476,0.00396368,0.0100003,0.00919801,0.0179685,0.0112933,0.0266627,0.0186681,0.0289357,0.0297298,0.00548324,0.0102396,0.0108246,0.0232113,0.00595709,0.00709112,0.0219775,0.00935743,0.0143267,0.0093728,0.00743623,0.0126206,0.0528191
233,0.027285,0.00774899,0.00965037,0.0333806,0.029454,0.0447255,0.0329886,0.0356745,0.0168357,0.011802,0.0104786,0.0353027,0.0124518,0.0243094,0.013637,0.0100629,0.0234049,0.00349257,0.00865758,0.00898955,0.0179338,0.0121293,0.0259145,0.0175231,0.028823,0.0291837,0.00421295,0.0100821,0.0106074,0.0230818,0.00611715,0.00667773,0.0215509,0.00931342,0.0133146,0.00981026,0.00762427,0.0134322,0.0532487
