Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
946,0.0288137,0.0496159,0.0157878,0.0339495,0.0290041,0.0290849,0.0403118,0.0332486,0.0448196,0.012965,0.0136754,0.0377956,0.0516114,0.0216285,0.0158043,0.0194996,0.0574749,0.0290791,0.0246208,0.0137838,0.0437237,0.0273157,0.026796,0.00964873,0.0474599,0.0525052,0.0248123,0.0173632,0.0105892,0.0411823,0.0312643,0.0102973,0.0259994,0.0160411,0.0114262,0.0323082,0.0318913,0.0638036,0.0296491
947,0.0290594,0.0496157,0.0156546,0.0341797,0.0286909,0.0290203,0.040138,0.0334075,0.0446655,0.0128542,0.0138565,0.0379145,0.0515396,0.0220324,0.0158603,0.0198468,0.0571279,0.0290595,0.024584,0.0133198,0.0433417,0.0274397,0.0266627,0.009447,0.0471753,0.0531426,0.0246068,0.0169334,0.0108287,0.0410454,0.0312935,0.0101507,0.0263718,0.0159559,0.0112599,0.0324877,0.031901,0.063955,0.0299733
948,0.0292881,0.0496412,0.0154813,0.0346474,0.0285723,0.0289797,0.0399987,0.0335938,0.0445131,0.0128131,0.0140681,0.0380947,0.0514936,0.0222555,0.0159732,0.0200518,0.0568803,0.029023,0.0246093,0.0128283,0.0428865,0.0275464,0.0265236,0.00921829,0.0469225,0.0538345,0.0244095,0.0164757,0.0114801,0.0408967,0.0313786,0.00996525,0.0268583,0.0160587,0.0110675,0.0324117,0.0318939,0.0641013,0.0302982
949,0.0294801,0.0496904,0.0153168,0.034576,0.0290106,0.0289498,0.0398944,0.0337997,0.0443834,0.012773,0.0143036,0.0382767,0.0515653,0.022465,0.0162051,0.0202696,0.0566517,0.0289878,0.0245303,0.0121675,0.0424015,0.0276005,0.0264289,0.00895853,0.0467234,0.0546545,0.0242193,0.0159208,0.0123401,0.0407883,0.0314529,0.00971862,0.0275289,0.0161947,0.0108566,0.0323181,0.0319074,0.0642314,0.0306461
950,0.0296407,0.0497437,0.0152579,0.0342872,0.029146,0.0289331,0.0398154,0.0340319,0.0442547,0.0127738,0.014542,0.0385124,0.0517143,0.0225822,0.0162479,0.0205982,0.0564308,0.0289378,0.0245812,0.0114435,0.0419422,0.0276793,0.026338,0.00866033,0.0465813,0.0555391,0.0240133,0.015111,0.0132514,0.0405013,0.0315277,0.00942772,0.0284357,0.0162284,0.0106343,0.0322689,0.032009,0.0643156,0.030998
951,0.0297996,0.049828,0.0150734,0.0340836,0.0291395,0.0289072,0.0397666,0.0342515,0.0441666,0.0126967,0.0148004,0.0388407,0.0518786,0.0227576,0.0163336,0.0210116,0.0563899,0.0288821,0.0247187,0.0108213,0.0415244,0.0277781,0.0262562,0.00832864,0.0464634,0.0562455,0.0238172,0.0141508,0.0141014,0.0401628,0.0316308,0.00912161,0.0293812,0.0160802,0.0103942,0.0322249,0.0320734,0.0643325,0.0313367
952,0.0299761,0.0499349,0.0147474,0.0339733,0.029182,0.0288936,0.0397685,0.0345025,0.0440994,0.0126118,0.0150718,0.0391948,0.0521175,0.0230006,0.0166824,0.0214525,0.0565056,0.0288622,0.024766,0.0104668,0.0411814,0.0278496,0.0262016,0.00800429,0.0463465,0.0568061,0.0236524,0.0131533,0.0148359,0.0399862,0.0317687,0.00880709,0.0304149,0.0157954,0.0101438,0.0321661,0.031932,0.0642745,0.0316316
953,0.0301226,0.0500417,0.0143678,0.0338673,0.029363,0.0288753,0.0397857,0.0347586,0.0440614,0.0124969,0.0153689,0.0395255,0.0523364,0.0232687,0.0169331,0.0218483,0.0566768,0.028831,0.0247536,0.0102735,0.0409148,0.0279049,0.0261663,0.00768864,0.0462351,0.0574474,0.0234831,0.0121766,0.0155935,0.0398104,0.031902,0.00853753,0.0314312,0.0154414,0.00990977,0.0321161,0.0314419,0.064197,0.0318827
954,0.0302819,0.0501423,0.013973,0.0337776,0.0297238,0.0288517,0.0398256,0.0350717,0.0440165,0.0123424,0.015677,0.0398317,0.0525849,0.023621,0.0170798,0.0222932,0.0568424,0.0287655,0.0246974,0.0102201,0.0407207,0.0279403,0.0261859,0.00741512,0.0461526,0.0581379,0.0233169,0.0113776,0.0163014,0.0398027,0.0319783,0.00836392,0.0321956,0.0151911,0.00972526,0.0321124,0.0312243,0.0641078,0.0320799
955,0.0304489,0.0502325,0.0135496,0.0336897,0.0299282,0.0288395,0.0398814,0.0354154,0.0440245,0.0121871,0.0159809,0.0400882,0.0527662,0.024078,0.0172476,0.0228128,0.0570083,0.0287385,0.0247072,0.0103057,0.0406428,0.027965,0.0262301,0.00719938,0.0460926,0.0586937,0.0231511,0.0109434,0.0167998,0.0397738,0.0320587,0.00829741,0.0326683,0.0151595,0.0095659,0.0320652,0.0312242,0.0640047,0.0322031
956,0.0305943,0.050286,0.0131318,0.0336181,0.030058,0.0288601,0.0399552,0.0357978,0.0440689,0.01199,0.016287,0.0403031,0.0528708,0.0244428,0.0175446,0.0233569,0.0571162,0.028728,0.0248131,0.0105769,0.0406708,0.0280198,0.0262657,0.00700834,0.0460566,0.0591635,0.0230196,0.0111351,0.0170758,0.0396579,0.0321364,0.00834785,0.0329031,0.0154328,0.00943003,0.0320592,0.0312291,0.0638835,0.0322777
957,0.0306921,0.0503053,0.0126984,0.0336052,0.0302701,0.028921,0.0400482,0.0362034,0.0440846,0.0117356,0.0166401,0.0405324,0.0529506,0.024838,0.0178051,0.0238992,0.0571785,0.0286907,0.0248741,0.0112423,0.0407997,0.0280594,0.0263455,0.00686559,0.0459787,0.0595739,0.0229122,0.0119618,0.0171179,0.039675,0.0322285,0.00849363,0.0329665,0.0158719,0.00933236,0.032073,0.0312513,0.0637519,0.0323107
958,0.0307928,0.0502776,0.0122369,0.0336415,0.0305963,0.0289807,0.0401159,0.0366184,0.044108,0.011527,0.0169716,0.0407384,0.0529453,0.0252514,0.0179355,0.0244576,0.0572181,0.0286309,0.0248716,0.0125513,0.0410033,0.0281218,0.0264222,0.00677181,0.0458984,0.0598268,0.0228101,0.0132979,0.016919,0.0397962,0.0322458,0.00865218,0.0330102,0.0163783,0.00926776,0.0320728,0.0312882,0.0636317,0.0322878
959,0.0308813,0.0502296,0.0117565,0.0336954,0.0307275,0.029026,0.0402123,0.0370408,0.04414,0.0112136,0.0172478,0.0408769,0.0528467,0.0256534,0.0178849,0.0250338,0.0571986,0.0285215,0.0249069,0.0146415,0.0412415,0.0281967,0.026522,0.00672409,0.0458335,0.0600082,0.0226961,0.0153159,0.0164957,0.0399015,0.0322155,0.00877974,0.0330419,0.0173557,0.00921833,0.0320318,0.0313269,0.0635239,0.032247
960,0.0309622,0.0501568,0.0112558,0.0336228,0.0306542,0.029051,0.0403252,0.0374614,0.0441417,0.0108602,0.0174838,0.0409563,0.0527384,0.0260464,0.0177913,0.0257825,0.057149,0.0284051,0.0248871,0.0169519,0.0414603,0.0282572,0.0266122,0.00670155,0.0457887,0.0601795,0.0225921,0.0174859,0.0160052,0.0399451,0.032194,0.00881027,0.0329462,0.0188133,0.00917241,0.0319888,0.0313616,0.0634003,0.0322187
961,0.031057,0.0500403,0.0107602,0.033245,0.0307719,0.0290424,0.0404342,0.0378878,0.0441117,0.0105832,0.0177309,0.0410075,0.0525871,0.026412,0.017853,0.026673,0.0570647,0.028257,0.0247927,0.0183816,0.0416196,0.0283347,0.026666,0.00668159,0.0457571,0.060322,0.0224807,0.0188373,0.0155011,0.039933,0.0321414,0.00868727,0.0327142,0.0201652,0.00911359,0.0319718,0.0314471,0.0632184,0.0322365
962,0.0311445,0.0498874,0.0103478,0.0329054,0.0311684,0.0289943,0.0405312,0.0382962,0.044049,0.0103297,0.0179964,0.0410689,0.0524077,0.0265507,0.0181612,0.0277435,0.0570046,0.0280768,0.0247006,0.0183842,0.0417108,0.0284209,0.0267635,0.00663762,0.0457156,0.0604615,0.0223867,0.0190811,0.0153967,0.0398696,0.0320627,0.00839296,0.0326225,0.0210684,0.00903724,0.0319727,0.0316509,0.0629944,0.0323158
963,0.0312197,0.0496909,0.0100884,0.0325983,0.0313032,0.0289213,0.0406143,0.0386798,0.0439692,0.010116,0.018066,0.041081,0.0522311,0.0264854,0.0184906,0.0291026,0.0569729,0.0278829,0.0246306,0.0174063,0.0417276,0.0284758,0.0268733,0.00653407,0.0456912,0.0605467,0.0223206,0.018627,0.0159334,0.0397151,0.0319696,0.00801834,0.0323913,0.0213294,0.00892108,0.0319619,0.0316687,0.0627017,0.032435
964,0.031254,0.0494856,0.0100767,0.0323083,0.0313358,0.0288417,0.0406753,0.0390309,0.0439001,0.0102074,0.0179799,0.0410424,0.0520786,0.0264077,0.0184766,0.0304161,0.0569467,0.0276871,0.0244952,0.0161356,0.0416057,0.0285122,0.0270046,0.00640102,0.0456883,0.0606234,0.0222936,0.0179929,0.0168529,0.0395377,0.0318582,0.00784596,0.0314937,0.0205923,0.00880006,0.031933,0.0317011,0.062323,0.0325456
965,0.0312165,0.0492811,0.0101537,0.0321975,0.0313389,0.0287703,0.0407089,0.0393423,0.0438533,0.0105681,0.0178104,0.0409741,0.051941,0.0262102,0.0184163,0.0318444,0.0569287,0.0274351,0.0243439,0.0152259,0.0413004,0.0285409,0.0271655,0.00627082,0.0456242,0.060713,0.0222509,0.0172722,0.017514,0.0394135,0.031703,0.00812236,0.0296915,0.0189352,0.00870166,0.0318827,0.0316054,0.0618734,0.0325722
966,0.0311434,0.0491044,0.0100296,0.0323269,0.0313844,0.0287213,0.0406994,0.0395992,0.0437795,0.0111839,0.0175849,0.0408995,0.0518011,0.0258883,0.0186391,0.0336596,0.0569542,0.0271917,0.0241311,0.0149386,0.0408432,0.0285479,0.0273016,0.00616432,0.0455454,0.0608021,0.0222019,0.0167742,0.0175019,0.0392689,0.0315308,0.00894665,0.0274214,0.0169195,0.00862199,0.0318745,0.0312779,0.0613536,0.0324763
967,0.0311283,0.048931,0.00981436,0.032102,0.0314577,0.028709,0.0406661,0.0397871,0.0437321,0.0119414,0.0173095,0.0409641,0.0516341,0.0254115,0.0187485,0.0357743,0.0570464,0.0270342,0.0238935,0.0150567,0.0403147,0.0285896,0.0274428,0.00608246,0.0454651,0.0609176,0.0220954,0.0164848,0.0169044,0.0392474,0.0313627,0.0102497,0.0251443,0.015191,0.00857414,0.031921,0.031275,0.0607719,0.0322598
968,0.0312043,0.0487393,0.00962244,0.0314438,0.0315556,0.0287538,0.040592,0.0399018,0.0437516,0.0127107,0.0170077,0.0409052,0.0514794,0.0247467,0.0186917,0.0380402,0.0572551,0.0268614,0.0237241,0.0152536,0.0398493,0.0286935,0.0276408,0.00603882,0.0453471,0.0610432,0.0219895,0.0163645,0.0161531,0.0393031,0.031194,0.0118124,0.0232665,0.0139835,0.00858972,0.0319482,0.0316093,0.060135,0.0319145
969,0.0312993,0.0485573,0.00941525,0.031147,0.0314363,0.0287813,0.0404399,0.0399768,0.0438711,0.0134063,0.0165902,0.0406396,0.0513625,0.0239188,0.0184392,0.0402726,0.0576062,0.0267052,0.0236234,0.015442,0.0395468,0.0289005,0.0278609,0.00609433,0.0451177,0.0611559,0.0218988,0.016361,0.0155662,0.0394097,0.0310135,0.0133726,0.0220542,0.0132452,0.00868557,0.0320038,0.0319176,0.0594553,0.0314567
970,0.0313622,0.0483889,0.00912006,0.0311772,0.0311494,0.0287839,0.0402246,0.0400177,0.0440721,0.0141662,0.0159393,0.0402895,0.0512572,0.022959,0.0179606,0.0423559,0.0580923,0.0265254,0.0236015,0.0157754,0.0394259,0.029215,0.0280623,0.0062978,0.0448581,0.0611929,0.0218578,0.0164385,0.0152045,0.0396176,0.0308416,0.014684,0.0214495,0.0130691,0.00886422,0.0320466,0.0318331,0.0587617,0.0309379
971,0.0314239,0.0482407,0.00896987,0.0312805,0.0313454,0.028777,0.0399644,0.040038,0.0443504,0.0148174,0.0152635,0.0401447,0.0511094,0.0218308,0.0172475,0.0441853,0.0586592,0.0264076,0.0236814,0.0161788,0.0394801,0.0296216,0.0282653,0.00665564,0.0445728,0.0611869,0.0218329,0.0166537,0.0150576,0.0399496,0.0307083,0.0156204,0.0212923,0.0130183,0.00911915,0.0319747,0.0317044,0.0580441,0.0303563
972,0.0314924,0.0481143,0.00897804,0.0314054,0.0316204,0.0287671,0.0397081,0.0400982,0.0447284,0.015433,0.0145104,0.0400171,0.050912,0.0205044,0.0164491,0.045556,0.0592646,0.0263815,0.023834,0.0164269,0.0397013,0.0300699,0.0284871,0.00716522,0.0442453,0.0612887,0.0218298,0.0167599,0.0150938,0.0403826,0.0307054,0.0161816,0.0214302,0.0128,0.00947937,0.0317833,0.031666,0.0572889,0.0297516
973,0.031559,0.047999,0.00920137,0.0316038,0.031735,0.0287253,0.0394353,0.0402335,0.0451547,0.016153,0.0134759,0.0398499,0.0506711,0.0190595,0.0155158,0.046271,0.0598633,0.0263623,0.0240476,0.0165089,0.0399667,0.0304991,0.0287274,0.00780563,0.0438839,0.0613055,0.0219273,0.0164786,0.0151844,0.0406753,0.0307604,0.0163806,0.0217097,0.0124689,0.00995491,0.0320326,0.0316702,0.0565308,0.029125
