Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
213,0.0272828,0.0316865,0.024932,0.0290831,0.0550754,0.0225419,0.100321,0.0153926,0.022688,0.0217429,0.00853476,0.0317273,0.0292217,0.00475835,0.00966692,0.0197914,0.0171721,0.0233862,0.0265941,0.00662233,0.0212786,0.0542963,0.0405831,0.0239856,0.075238,0.0246249,0.0206525,0.0223409,0.00464028,0.0257001,0.0468181,0.00836872,0.0140882,0.0236675,0.0281223,0.0223124,0.0241315,0.0296189,0.0252418
214,0.0278276,0.0319852,0.0249104,0.0294956,0.0536745,0.0233187,0.0990022,0.0154815,0.0230535,0.0215662,0.00876179,0.0320999,0.0296561,0.00387854,0.0103621,0.0196005,0.0178523,0.0236454,0.0267362,0.0071106,0.0213266,0.0543608,0.0412605,0.0233109,0.0750704,0.0246724,0.0204007,0.0229555,0.00580844,0.0248187,0.0465191,0.00788199,0.0132705,0.0281519,0.0279547,0.0221015,0.0244327,0.0293036,0.0251165
215,0.028293,0.0323161,0.0248334,0.0293957,0.0522759,0.0241319,0.0977839,0.0155336,0.023444,0.0212741,0.00884899,0.031735,0.0302106,0.00411811,0.0110585,0.0194284,0.0186339,0.0240751,0.0268518,0.00859469,0.0212218,0.0545199,0.0420291,0.0225844,0.074992,0.024544,0.0203007,0.0250129,0.0068996,0.0246264,0.0463075,0.00753557,0.0127092,0.0313902,0.0278516,0.0219331,0.0244155,0.0293145,0.0250204
216,0.0286051,0.0326936,0.0248228,0.0290163,0.0509305,0.0250177,0.0966715,0.0156489,0.0238784,0.0209968,0.00886268,0.0314521,0.0307996,0.00480117,0.011638,0.0192563,0.0195137,0.0244154,0.0270574,0.0110383,0.0223051,0.0547508,0.0428452,0.0219968,0.0749819,0.0241835,0.0202702,0.0276906,0.00781681,0.0250603,0.0462156,0.00734252,0.0125787,0.0324875,0.0277926,0.0219312,0.0242766,0.0296619,0.024957
217,0.0287411,0.0330732,0.0248466,0.0288445,0.0496339,0.0259775,0.0956589,0.015807,0.0243856,0.0206931,0.00877453,0.0313116,0.0314073,0.00552605,0.0120269,0.0190816,0.0204603,0.0246523,0.0273927,0.0133587,0.0232653,0.0549901,0.0436588,0.02165,0.0750084,0.0236225,0.0202871,0.0301392,0.00863363,0.0258767,0.0462014,0.00732366,0.0129744,0.0327266,0.0277923,0.0220976,0.0241291,0.030257,0.0248664
218,0.0286319,0.0333349,0.0245733,0.0282892,0.0484208,0.0270225,0.0947266,0.0159593,0.0249334,0.0203391,0.00860313,0.0312975,0.0320172,0.00628135,0.0121021,0.0188961,0.0215322,0.0249743,0.0278358,0.014873,0.024014,0.0552141,0.0444894,0.021398,0.0752066,0.02287,0.0204123,0.0319376,0.00934667,0.0267306,0.0462299,0.00743685,0.0140093,0.0327498,0.0278615,0.0222606,0.0239615,0.0310015,0.0246091
219,0.0284686,0.0335054,0.0243123,0.0276322,0.0472881,0.0281621,0.0938325,0.0161083,0.0254733,0.0200075,0.00838759,0.0314189,0.0326347,0.00703212,0.0119215,0.0187337,0.0227384,0.0254059,0.0283522,0.0155849,0.0248035,0.0554195,0.0453366,0.0213265,0.0753977,0.0219638,0.0206859,0.0328644,0.00993007,0.0274676,0.0463442,0.00759027,0.015417,0.032539,0.0280054,0.0225188,0.0237135,0.0317511,0.0242271
220,0.02847,0.0336396,0.0241126,0.0273829,0.0461914,0.0293282,0.0929646,0.0162766,0.0259631,0.0197333,0.0080805,0.0317709,0.0332516,0.00773297,0.0116745,0.0185791,0.024041,0.025959,0.0289096,0.0157317,0.0256625,0.0555728,0.0461042,0.021171,0.0756489,0.021024,0.0208879,0.0331242,0.0103965,0.0281227,0.0466197,0.00782987,0.0168141,0.0319577,0.0282596,0.0227848,0.0234042,0.0323516,0.0239226
221,0.0285236,0.033685,0.0239197,0.0275951,0.045127,0.0304854,0.0921231,0.0164591,0.0264042,0.0194682,0.00764637,0.0322343,0.0338573,0.00835862,0.0114975,0.0184415,0.0253808,0.0265403,0.0294466,0.0156956,0.0265129,0.0556029,0.0467518,0.0210656,0.0759684,0.0201625,0.0210419,0.0330183,0.0107348,0.0286709,0.0469509,0.00825378,0.0179473,0.0310374,0.0286028,0.0227998,0.0230956,0.0327282,0.0237052
222,0.0284951,0.0336989,0.0237328,0.0277481,0.0441601,0.0316423,0.0912665,0.016641,0.0269429,0.019162,0.00715798,0.0324793,0.0343974,0.00886913,0.011491,0.0183301,0.0267305,0.0271036,0.0299213,0.0158009,0.0273768,0.0555057,0.0472732,0.020917,0.0762536,0.0193871,0.0211854,0.032744,0.0109419,0.0289766,0.0470942,0.00885227,0.0186461,0.0302266,0.0289845,0.0228107,0.0229678,0.0331882,0.0235206
