Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40
445,0.0492728,0.0243483,0.00947716,0.0374059,0.00480652,0.113793,0.0297213,0.0774263,0.0738862,0.0122068,0.0219296,0.0234173,0.0692012,0.0171028,0.00990599,0.00482841,0.0965704,0.0704023,0.0666725,0.00729946,0.0474645,0.0804966,0.0276162,0.0520057,0.0238021,0.0614955,0.0440912,0.00387727,0.00402538,0.0495674,0.124072,0.0189326,0.0158851,0.000584806,0.0365814,0.00952976,0.0182598,0.0255341,0.057115,0,0
446,0.0492632,0.0243555,0.00947022,0.0374109,0.00484104,0.113807,0.0297391,0.0774446,0.0739149,0.0122055,0.021914,0.0234317,0.0692007,0.0170797,0.00986944,0.00484302,0.096583,0.0704369,0.0666832,0.00730687,0.0474831,0.0805075,0.0275837,0.0519861,0.0237916,0.0615264,0.0440794,0.00387399,0.00401616,0.0495645,0.124082,0.018918,0.0158697,0.000592476,0.0365679,0.009566,0.0183019,0.0255405,0.0571248,0,0
447,0.0492513,0.0243621,0.00946864,0.0374199,0.00485443,0.113824,0.0297716,0.0774442,0.073946,0.0122079,0.0219059,0.023442,0.0692001,0.017058,0.00981657,0.00485433,0.0965997,0.0704673,0.0666924,0.00730164,0.0474997,0.0805104,0.0275464,0.0519763,0.0237904,0.0615335,0.0440699,0.00387965,0.00401186,0.049568,0.124092,0.018913,0.015866,0.000593916,0.0365704,0.00957007,0.0183284,0.0254929,0.0571414,0,0
448,0.0492435,0.0243749,0.00946141,0.0374285,0.00485896,0.113843,0.0298122,0.0774546,0.0739817,0.0122137,0.0218957,0.0234493,0.069197,0.0170473,0.00980903,0.00485403,0.0966284,0.0705058,0.0667155,0.00730528,0.0475116,0.0805039,0.0275316,0.0519761,0.0238009,0.0615152,0.0440575,0.003886,0.00400444,0.0495721,0.1241,0.0189127,0.0158681,0.000591788,0.0365847,0.00954718,0.0183409,0.0253507,0.0571284,0,0
449,0.0492348,0.0243948,0.00945607,0.0374336,0.00487215,0.113876,0.029849,0.0774795,0.0740274,0.0122015,0.0218824,0.0234671,0.0691978,0.0170445,0.00985063,0.00485194,0.0966532,0.0705406,0.0667557,0.00729992,0.0475295,0.0805023,0.0275254,0.0519829,0.0238113,0.0614872,0.0440339,0.00389785,0.00400314,0.0495801,0.12411,0.0189122,0.0158711,0.000580547,0.0365653,0.00952354,0.0183349,0.0253066,0.0570938,0,0
450,0.0492179,0.024412,0.00945501,0.0374434,0.00487909,0.113917,0.0298846,0.0775257,0.0740801,0.0121869,0.0218759,0.0234843,0.0691989,0.0170572,0.00986683,0.00485551,0.0966839,0.0705705,0.0667966,0.00728239,0.0475487,0.0805037,0.0275105,0.0519748,0.0238203,0.0614471,0.0440141,0.00391274,0.00400767,0.0495902,0.124123,0.0189097,0.0158787,0.00056266,0.0364754,0.00949794,0.01831,0.0253304,0.0571093,0,0
451,0.0491951,0.024419,0.00945046,0.0374459,0.0048779,0.113962,0.0299133,0.0775743,0.0741342,0.0121906,0.021883,0.0234917,0.0692089,0.0170802,0.00985078,0.00485384,0.0967252,0.0705966,0.066838,0.00726713,0.0475571,0.0805079,0.0274956,0.0519435,0.0238435,0.0614113,0.0439895,0.00392119,0.00400335,0.0495924,0.124137,0.0189105,0.0158781,0.000547684,0.0364409,0.00949061,0.0182681,0.0253595,0.0571267,0,0
452,0.0491772,0.0244229,0.00944783,0.0374491,0.00486281,0.11401,0.0299517,0.0776031,0.0741782,0.0121954,0.0218783,0.0234942,0.0692584,0.0171091,0.00982822,0.00484254,0.0967641,0.0706138,0.0668957,0.00725449,0.0475619,0.080522,0.0274872,0.0519094,0.0238652,0.0613845,0.0439547,0.00393969,0.00399763,0.0495945,0.124154,0.0189142,0.0158825,0.000530087,0.0364367,0.00950668,0.0182206,0.0253819,0.0571195,0,0
453,0.0491628,0.0244306,0.00944038,0.0374484,0.00484589,0.114048,0.0300042,0.0776145,0.0742262,0.0121939,0.0218712,0.0234997,0.0693345,0.0171389,0.00984793,0.00483061,0.0967941,0.0706451,0.0669766,0.00723532,0.0475695,0.0805364,0.0274847,0.0518775,0.0238942,0.0613629,0.0438869,0.00396618,0.00399505,0.0495942,0.124168,0.018917,0.0158957,0.000507407,0.0364269,0.00951429,0.0181683,0.0253983,0.0570833,0,0
454,0.0491536,0.0244595,0.009435,0.0374528,0.00481279,0.114076,0.0300579,0.0776243,0.0742761,0.0121991,0.0218775,0.0235005,0.0692784,0.0171662,0.00986027,0.00481629,0.0968205,0.0706903,0.0669737,0.00721161,0.0475845,0.0805416,0.0274816,0.0518434,0.0239236,0.0613568,0.0438016,0.00399378,0.00399424,0.0496003,0.124169,0.018913,0.0159009,0.000492436,0.0364375,0.00950996,0.0181145,0.0254153,0.0570594,0,0
455,0.0491452,0.0244916,0.00942568,0.037458,0.00477268,0.114096,0.0301064,0.077644,0.074324,0.0122073,0.0218782,0.023503,0.0692426,0.0171866,0.00985829,0.00480394,0.0968409,0.070739,0.0669711,0.00718778,0.0476003,0.0805439,0.0274711,0.0518195,0.0239561,0.0613578,0.0438093,0.00402129,0.00399648,0.0496085,0.124166,0.0189057,0.0159013,0.000479951,0.0364493,0.00950823,0.0180679,0.0254296,0.0570924,0,0
456,0.0491301,0.024504,0.00942139,0.0374589,0.0047564,0.114117,0.0301408,0.0776903,0.0743703,0.0122092,0.0218696,0.0235036,0.0692522,0.0172037,0.0098542,0.00479074,0.0968586,0.07078,0.0669995,0.00716297,0.0476266,0.0805492,0.0274642,0.0518028,0.0239931,0.061357,0.043814,0.00403841,0.00400141,0.0496163,0.124165,0.018902,0.0159055,0.000468375,0.0363921,0.00951134,0.0180414,0.0254361,0.0570832,0,0
457,0.0491155,0.0245132,0.00941796,0.0374602,0.00473062,0.114132,0.0301677,0.0777442,0.0744198,0.0122094,0.0218638,0.0235029,0.0692812,0.0172081,0.00985019,0.00478586,0.0968812,0.070816,0.0670327,0.00714884,0.0476462,0.0805587,0.0274503,0.0518053,0.0240254,0.0613404,0.0437892,0.00404931,0.00400731,0.0496219,0.124163,0.018895,0.0159094,0.00045021,0.036392,0.00950812,0.0180266,0.0254399,0.0569841,0,0
458,0.0490936,0.0245232,0.00941173,0.0374715,0.00472317,0.114149,0.0301883,0.077785,0.0744629,0.0122063,0.0218629,0.0235064,0.0693046,0.0172013,0.00985943,0.00477736,0.0969097,0.0708506,0.0670532,0.00714269,0.0476578,0.0805613,0.0274299,0.0518157,0.0240467,0.0613,0.0437513,0.00406842,0.00400994,0.0496301,0.124162,0.01889,0.0159157,0.000427765,0.0364648,0.00950744,0.0180127,0.0254493,0.0569407,0,0
459,0.0490731,0.0245331,0.00940534,0.0374811,0.00470683,0.114176,0.0302087,0.0778173,0.0744922,0.0122049,0.021862,0.0235098,0.0693295,0.0171958,0.00986958,0.00476001,0.0969329,0.0709009,0.067075,0.00713434,0.0476683,0.080557,0.0274038,0.0518127,0.0240642,0.0612272,0.0437239,0.00409499,0.00400936,0.0496439,0.124164,0.0188896,0.0159294,0.000410694,0.0365027,0.00948287,0.0179969,0.025449,0.0569866,0,0
460,0.0490657,0.024544,0.00939491,0.0374832,0.00468884,0.114205,0.0302358,0.0778536,0.0745285,0.0121993,0.0218634,0.0235066,0.0693505,0.0171879,0.00987322,0.00473871,0.0969465,0.0709528,0.0671035,0.007117,0.0476916,0.0805455,0.0273851,0.051803,0.0240786,0.061144,0.0437024,0.00412046,0.00400742,0.0496473,0.124171,0.0188899,0.0159358,0.00040421,0.0365071,0.00942824,0.0179771,0.0254395,0.0571094,0,0
461,0.049065,0.0245536,0.00938632,0.03747,0.00466944,0.11422,0.0302697,0.077889,0.0745636,0.0122009,0.0218595,0.0235078,0.0693687,0.0171893,0.00987145,0.00473151,0.0969625,0.0709787,0.0671293,0.00709531,0.04771,0.0805314,0.0273676,0.0517974,0.0241014,0.0610635,0.0436716,0.00413515,0.00400302,0.0496447,0.124181,0.0188991,0.0159409,0.000396626,0.0364772,0.00938217,0.0179238,0.02545,0.0571248,0,0
462,0.0490632,0.0245681,0.00938344,0.0374479,0.00466067,0.114231,0.0303011,0.0779178,0.0745962,0.0122053,0.0218496,0.0235096,0.0693858,0.0172031,0.00986707,0.00472637,0.0969757,0.0710053,0.0671648,0.00708772,0.0477205,0.0805195,0.0273478,0.0517923,0.0241347,0.0609783,0.0436346,0.00414968,0.00399909,0.0496454,0.124188,0.0189012,0.0159484,0.000390871,0.0364188,0.00934472,0.0178537,0.0254708,0.0570219,0,0
463,0.0490684,0.0245707,0.00939121,0.0374346,0.00465891,0.114243,0.0303383,0.0779323,0.0746243,0.0122095,0.0218446,0.0235161,0.0693961,0.0172202,0.00987058,0.00471362,0.0969918,0.0710292,0.0672002,0.00709156,0.0477326,0.0805118,0.0273331,0.051782,0.0241617,0.0609004,0.0436005,0.00416099,0.00399703,0.0496484,0.124192,0.0188977,0.0159615,0.000378027,0.0364135,0.00930297,0.0177756,0.0254851,0.0569652,0,0
464,0.0490728,0.0245647,0.00939049,0.0374293,0.00464146,0.114262,0.0303743,0.0779251,0.0746571,0.012209,0.0218428,0.0235161,0.0693989,0.0172353,0.00986837,0.00469895,0.0970107,0.0710748,0.0672311,0.00708897,0.0477518,0.0804958,0.0273296,0.0517682,0.0241863,0.0608452,0.0435784,0.00417252,0.00399103,0.0496511,0.124197,0.0188872,0.0159693,0.000367186,0.0364726,0.00926739,0.0176977,0.0254968,0.0569664,0,0
465,0.0490683,0.0245684,0.0093765,0.0374188,0.00462018,0.114286,0.0304135,0.0779177,0.0746954,0.0122125,0.0218424,0.0235189,0.0694051,0.0172521,0.00986818,0.00469271,0.0970323,0.0711179,0.0672503,0.00707158,0.0477665,0.0804783,0.0273251,0.0517561,0.0242202,0.0607709,0.0435688,0.00418526,0.00398236,0.0496521,0.124201,0.0188763,0.0159715,0.0003594,0.0364889,0.00924175,0.0176158,0.0255131,0.0569847,0,0
466,0.0490624,0.0245814,0.0093641,0.0374136,0.00459767,0.114301,0.0304563,0.0779277,0.0747255,0.0122235,0.0218451,0.0235245,0.0694165,0.0172744,0.00987089,0.00468731,0.0970443,0.0711475,0.0672638,0.00704646,0.0477846,0.0804742,0.0273168,0.0517511,0.0242508,0.0606712,0.0435543,0.0041954,0.00397993,0.0496558,0.124204,0.0188675,0.0159737,0.000357304,0.0364745,0.00920395,0.0175174,0.0255329,0.0570126,0,0
467,0.0490664,0.0246015,0.0093612,0.0374107,0.00457414,0.114311,0.030499,0.0779528,0.0747494,0.0122274,0.0218455,0.0235262,0.0694218,0.0172859,0.00986653,0.00467809,0.0970526,0.0711708,0.0672776,0.00704421,0.0478014,0.0804796,0.0273237,0.0517544,0.0242857,0.0605585,0.0434966,0.00420008,0.00398489,0.0496467,0.124207,0.0188538,0.0159635,0.000350609,0.0364641,0.00914058,0.0174083,0.0255473,0.057084,0,0
468,0.0490733,0.024619,0.0093534,0.0374155,0.00455477,0.114319,0.0305312,0.0779733,0.0747683,0.0122223,0.0218418,0.0235322,0.0694238,0.0172902,0.00984886,0.00467236,0.0970586,0.0711921,0.0673089,0.00705036,0.0478117,0.0804908,0.0273255,0.0517576,0.0243212,0.0604246,0.0434228,0.00420647,0.003987,0.0496363,0.124214,0.0188356,0.0159497,0.000344076,0.0364606,0.00906829,0.0173089,0.0255633,0.0571886,0,0
