Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
943,0.0270098,0.0285445,0.0151165,0.0355764,0.0240537,0.0295061,0.0389118,0.0267526,0.0450598,0.0125714,0.012539,0.0449888,0.0268913,0.0253458,0.0165156,0.0182036,0.0363903,0.0330452,0.0276504,0.0134355,0.0402959,0.0313514,0.0106664,0.032324,0.0563232,0.0294104,0.0176622,0.0129298,0.0307075,0.0256665,0.0092077,0.0289727,0.0203167,0.0189451,0.026217,0.0336724,0.0389327,0.0279923,0.0325153
944,0.0270244,0.0286305,0.014626,0.0358039,0.0242488,0.0294331,0.0391479,0.0271399,0.0450257,0.0123803,0.0126315,0.0449127,0.0271357,0.0255882,0.0164769,0.018803,0.0366457,0.0328893,0.0276131,0.014823,0.0401644,0.031738,0.0106418,0.032752,0.0567164,0.0293255,0.0194767,0.0123048,0.0306974,0.0255679,0.00847211,0.0291875,0.0207315,0.0187368,0.0260999,0.0336549,0.039201,0.0280067,0.0326396
945,0.0270434,0.0287089,0.0141331,0.0360741,0.0244481,0.0293699,0.0393541,0.0274809,0.0449841,0.0122883,0.0127257,0.0449409,0.0274244,0.0258236,0.0164934,0.0194928,0.0369701,0.0326883,0.0275602,0.0153075,0.0400554,0.0320779,0.0106201,0.0331596,0.0569104,0.0291838,0.0202196,0.0120663,0.0306197,0.0255887,0.00763601,0.029527,0.020954,0.0185681,0.0259831,0.0336294,0.0395054,0.0280033,0.0328037
946,0.0270792,0.0287623,0.0136106,0.03641,0.0246122,0.0293308,0.039554,0.0280215,0.0449201,0.0118191,0.0128748,0.0450665,0.027701,0.0260289,0.0164507,0.0203472,0.0373772,0.0324613,0.0274795,0.015027,0.0399926,0.0323916,0.0106969,0.0335459,0.0569374,0.0290589,0.0201463,0.0123889,0.0304803,0.0255379,0.0067206,0.0298183,0.0211515,0.018421,0.0260615,0.0336855,0.0398144,0.0280142,0.0329578
947,0.0271221,0.0288363,0.0131143,0.0364832,0.0248086,0.0293073,0.0398245,0.0285183,0.0448617,0.0113047,0.0130401,0.045198,0.0279823,0.0262175,0.016483,0.0213986,0.0378118,0.0322965,0.0274006,0.0143878,0.0399371,0.0326899,0.0106691,0.0339118,0.0569808,0.0289888,0.0196995,0.0131084,0.0302787,0.025381,0.0058113,0.0298114,0.0210932,0.0183171,0.0261069,0.0337941,0.0400825,0.0280465,0.0330361
948,0.0271656,0.028957,0.012553,0.0358788,0.0250224,0.0293064,0.0401316,0.0290823,0.0447899,0.0107225,0.0131234,0.045288,0.0282373,0.0263306,0.0166049,0.0226366,0.0382346,0.0321907,0.0273593,0.0136509,0.0398897,0.0329303,0.0105752,0.034288,0.0570332,0.0290179,0.019206,0.0138074,0.0300254,0.025296,0.00499981,0.029268,0.0203625,0.0182441,0.0262289,0.0336797,0.0402959,0.0280238,0.0330023
949,0.0271756,0.0290793,0.0120799,0.0355594,0.0253011,0.0292694,0.040512,0.0297529,0.0447212,0.0102758,0.0131009,0.0453395,0.0284503,0.0263658,0.0167149,0.024094,0.038742,0.0319644,0.0270792,0.0129651,0.0398532,0.0331727,0.0104947,0.0346553,0.0570967,0.029045,0.0188893,0.0141642,0.0297766,0.0252671,0.00438918,0.0281692,0.0189059,0.0182027,0.0262396,0.0333537,0.0403797,0.0279118,0.032858
950,0.0271627,0.029204,0.0116859,0.0354848,0.0256067,0.0291682,0.0409209,0.0304443,0.0446902,0.0101018,0.0129761,0.0453327,0.0287209,0.0263028,0.0168746,0.0258417,0.0393473,0.0317473,0.0267411,0.0124472,0.0397941,0.0334073,0.0105523,0.0350387,0.057137,0.0290267,0.0187364,0.0141093,0.0295855,0.025238,0.0042424,0.0265854,0.0171356,0.0181938,0.0263289,0.0332687,0.0403599,0.0277894,0.0325528
951,0.0271673,0.0293589,0.0113057,0.0354429,0.0259592,0.02904,0.0413848,0.0312277,0.0446707,0.0103928,0.0127195,0.045279,0.0290236,0.0261074,0.0172378,0.0279234,0.0399568,0.0314861,0.0267155,0.0121325,0.0397017,0.0336791,0.0105831,0.035445,0.0571044,0.0290594,0.0183884,0.0137151,0.0294766,0.0252055,0.0045511,0.0248764,0.0156958,0.0181909,0.0263408,0.0332106,0.0402706,0.0276351,0.032136
952,0.0271922,0.0295254,0.0109102,0.0354122,0.0263727,0.0289478,0.0419724,0.0319859,0.0446685,0.0110179,0.0123493,0.0451601,0.0292097,0.0257624,0.0175034,0.030105,0.0405594,0.0311728,0.0266642,0.0120995,0.0395842,0.0339693,0.0106323,0.0358931,0.057008,0.0291322,0.0180394,0.0132201,0.0294569,0.0252127,0.00509309,0.0231664,0.0146804,0.0181658,0.0264224,0.0331673,0.0400664,0.0274253,0.0316855
953,0.0272553,0.0296684,0.0106795,0.0354257,0.0269005,0.0288544,0.042633,0.0327247,0.0446978,0.012024,0.0119177,0.0450283,0.0293637,0.0253276,0.0176098,0.032393,0.0411871,0.030864,0.026508,0.01244,0.0394883,0.0343142,0.0106777,0.0363682,0.0568818,0.0292028,0.0181377,0.012842,0.0294873,0.0252765,0.00573298,0.0217727,0.0142923,0.018121,0.0265639,0.0331169,0.0397337,0.0271995,0.0313304
