Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
804,0.032074,0.0360758,0.0204352,0.0293836,0.0256073,0.0167959,0.0370712,0.0520744,0.0490324,0.0163528,0.0117082,0.0387684,0.0532772,0.0143027,0.0123024,0.0218153,0.0531771,0.0293521,0.0324799,0.0185739,0.0255784,0.0352165,0.0132291,0.0449178,0.0500967,0.0305671,0.0345488,0.0123861,0.0420851,0.0176988,0.011486,0.0249613,0.0336665,0.0129566,0.0321532,0.0328982,0.0385797,0.0246108,0.0321457
805,0.0319478,0.0360541,0.0202518,0.0288867,0.0249482,0.0185803,0.0375993,0.0500157,0.0493177,0.0163342,0.0118475,0.0390728,0.0528906,0.0150741,0.0125841,0.0220519,0.0540243,0.0303218,0.0323071,0.0189785,0.026188,0.0347488,0.0122455,0.0453179,0.0513149,0.0299097,0.0340485,0.0119486,0.0414464,0.018575,0.0118319,0.0246294,0.033207,0.0124274,0.0322624,0.0330239,0.0387153,0.024444,0.0318172
806,0.0317115,0.0360006,0.0199587,0.0285205,0.0242874,0.020378,0.0380476,0.0479577,0.0495847,0.0162287,0.0119628,0.0395161,0.052264,0.01565,0.0128145,0.022294,0.0548481,0.031292,0.0321314,0.0193021,0.0266528,0.0341881,0.0112739,0.0456132,0.0521712,0.0292215,0.033382,0.0114904,0.0408308,0.0193683,0.0120907,0.0242674,0.0325308,0.0120319,0.0320463,0.0330079,0.0387426,0.0242153,0.0314679
807,0.0313679,0.0358996,0.0194439,0.0284078,0.0236829,0.0222888,0.038413,0.0458997,0.0498275,0.0159325,0.0120146,0.0398984,0.051428,0.0160512,0.0129214,0.0223583,0.0554983,0.0320848,0.0320289,0.0195509,0.0271352,0.0335235,0.0103298,0.0458546,0.0530338,0.0285439,0.0323717,0.011081,0.0402133,0.0201251,0.0123822,0.0238311,0.0316309,0.0117865,0.0316366,0.032968,0.0387939,0.0239897,0.0312615
808,0.0309651,0.0357437,0.0189789,0.028433,0.023166,0.024084,0.0386782,0.0438047,0.0500198,0.0152065,0.0120482,0.0401326,0.0504086,0.0166028,0.0128457,0.0223144,0.0559181,0.0326679,0.0317681,0.0196771,0.0276344,0.0328442,0.00945452,0.0460101,0.0538419,0.0279572,0.0311714,0.0106645,0.0395524,0.0206312,0.0127589,0.0233563,0.0302855,0.0116187,0.0310663,0.0329424,0.0389581,0.0238,0.0313613
809,0.0304824,0.0355428,0.0185463,0.0282058,0.0227432,0.025711,0.0388513,0.0416949,0.0501644,0.0148204,0.012152,0.0402646,0.0492354,0.0173178,0.0126531,0.0221395,0.0560688,0.0330752,0.0313462,0.0196769,0.02811,0.0321691,0.00862048,0.0460904,0.0545985,0.0274318,0.0301477,0.010284,0.0388821,0.0209578,0.0131599,0.0228351,0.0291039,0.0115189,0.030374,0.0327301,0.0391619,0.0236387,0.0318085
810,0.0299411,0.0353193,0.0180826,0.0279981,0.0224182,0.0272831,0.0389426,0.0395537,0.0501898,0.0149592,0.0122657,0.0404035,0.0479914,0.018128,0.0125293,0.0218704,0.0559435,0.033285,0.0311454,0.0197108,0.0286255,0.0315345,0.00783026,0.0461225,0.0552948,0.0270292,0.0294099,0.00998038,0.0381937,0.021201,0.0134731,0.0223006,0.0283151,0.0114774,0.0296315,0.0325545,0.0391661,0.023525,0.03233
811,0.0293808,0.0350578,0.0176541,0.0279041,0.0222121,0.0287697,0.0389432,0.0374706,0.0500424,0.0147946,0.0125909,0.0406182,0.0467319,0.0191087,0.0125954,0.0214874,0.0555681,0.0333678,0.0311025,0.0197744,0.0292348,0.0309226,0.00713257,0.0461365,0.056029,0.0267539,0.0286287,0.00978558,0.0375845,0.0213872,0.0136033,0.0218395,0.0277488,0.0114236,0.0287766,0.0324739,0.0389007,0.0235626,0.0323955
812,0.0288018,0.0347485,0.0173559,0.0279954,0.0221253,0.0301059,0.0388817,0.0355405,0.0497507,0.0143594,0.013046,0.0409235,0.0454974,0.0203288,0.0128828,0.0209009,0.0549697,0.0334726,0.0309598,0.0199861,0.0296619,0.0304044,0.00657618,0.0461257,0.0567957,0.0265229,0.0278233,0.00970896,0.0372394,0.0215315,0.0137319,0.0213968,0.027216,0.0113279,0.0278335,0.0325368,0.0389187,0.0236855,0.0325355
813,0.0282277,0.0344138,0.0171453,0.0281259,0.0221292,0.031288,0.0387973,0.0338796,0.0493917,0.0138689,0.0135842,0.0412297,0.0443522,0.0217115,0.0133329,0.0204522,0.0542163,0.0335663,0.0307613,0.0202613,0.0299468,0.0299799,0.00617407,0.0461027,0.0575272,0.0263613,0.026976,0.00972198,0.0372472,0.0216637,0.0138609,0.0209254,0.0264155,0.011171,0.0268539,0.0327581,0.0392633,0.0239642,0.0326869
814,0.0276019,0.0340423,0.0169033,0.028242,0.0222402,0.0322625,0.0386849,0.0324747,0.0489468,0.0136081,0.0140502,0.0414503,0.043334,0.0228556,0.0138417,0.0201762,0.0532698,0.0336287,0.0305876,0.020533,0.0301539,0.0296527,0.00589274,0.0460563,0.0582117,0.0262438,0.0258665,0.0097989,0.0372594,0.0217945,0.0139311,0.0203382,0.0257598,0.010923,0.0259122,0.0330551,0.0398347,0.0243892,0.032708
815,0.0269906,0.0336864,0.0167016,0.0283155,0.0224549,0.0330185,0.0385615,0.0312486,0.0484637,0.0135363,0.0143498,0.0415722,0.042434,0.0239548,0.0142753,0.0198416,0.0521836,0.0336951,0.0305536,0.0208754,0.0302836,0.0294065,0.00574189,0.0461613,0.0589779,0.0261647,0.0248201,0.0101123,0.0371656,0.0219191,0.0138962,0.0195022,0.0251189,0.0107591,0.0252031,0.0332265,0.0405985,0.0249313,0.0326488
816,0.0264412,0.0333567,0.0165775,0.028378,0.0226493,0.0335842,0.038455,0.0302489,0.0479478,0.0135099,0.0144147,0.041622,0.0417119,0.0249627,0.0145374,0.0194533,0.0510906,0.033795,0.0304759,0.0213097,0.0303744,0.0292099,0.00565935,0.0464043,0.0596763,0.0260863,0.0239969,0.0104436,0.0367604,0.021991,0.013745,0.0185403,0.0249513,0.0106541,0.0245666,0.0334341,0.0415481,0.025439,0.032738
817,0.0259548,0.0330245,0.0165013,0.0284699,0.02286,0.0339859,0.0383932,0.029463,0.0474114,0.0134225,0.0142289,0.0416056,0.0412537,0.0257616,0.0145701,0.019201,0.0501048,0.0339057,0.0304723,0.0216958,0.0304718,0.0290439,0.00562328,0.0466699,0.0602368,0.0260049,0.0233314,0.0105855,0.036924,0.0220063,0.0134792,0.018127,0.0247872,0.0104073,0.0241909,0.0336268,0.0426816,0.0259119,0.0335754
818,0.0255372,0.0327243,0.0164418,0.0284694,0.0230521,0.0342658,0.0383817,0.0288553,0.0468765,0.0133372,0.0138913,0.0415351,0.0409289,0.0263452,0.0143931,0.0191288,0.049252,0.0339638,0.0305521,0.0219954,0.0305892,0.0289191,0.00560006,0.0470159,0.0606873,0.0259582,0.0227507,0.010458,0.0371502,0.0221112,0.0131191,0.0182241,0.0244142,0.0100632,0.0243083,0.0338899,0.0439659,0.0264803,0.03434
819,0.0252241,0.0325013,0.0163645,0.0284388,0.0232229,0.0344343,0.0384404,0.0284625,0.0463854,0.0132926,0.0135235,0.0414635,0.0406765,0.0267931,0.0141163,0.0189098,0.0484538,0.0339663,0.0306146,0.0220499,0.0307694,0.0288048,0.00557973,0.0474623,0.0611254,0.0259545,0.0223453,0.0100756,0.0372475,0.0223082,0.0126595,0.0183213,0.0239633,0.00969394,0.0242051,0.0342747,0.0449408,0.0270054,0.034676
