Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
920,0.0297032,0.0253018,0.0196814,0.0334962,0.0287223,0.00222625,0.0253011,0.0733201,0.0450504,0.0158608,0.00886083,0.0384452,0.0458503,0.00709334,0.0163633,0.0164962,0.0458802,0.0323147,0.0355358,0.0105203,0.019218,0.0272789,0.0278799,0.0325937,0.0205153,0.0330549,0.00798499,0.0160977,0.0389274,0.0160322,0.0212509,0.026093,0.0127302,0.0233382,0.0260267,0.0233446,0.0247211,0.0361486,0.0241454
921,0.0297791,0.0251133,0.0169289,0.0327643,0.0285474,0.00268646,0.0255264,0.0739416,0.0450736,0.0132445,0.0114548,0.0383508,0.0460545,0.0122838,0.0161876,0.0151112,0.0458177,0.0321485,0.0359738,0.0101949,0.0189666,0.0270439,0.0277033,0.0323069,0.020417,0.0326597,0.00747166,0.0160677,0.0388191,0.0160019,0.0216322,0.0261139,0.0129083,0.0234221,0.0259263,0.023275,0.0253169,0.0360471,0.023997
922,0.0298759,0.0250138,0.0138882,0.0321481,0.028389,0.00315562,0.025752,0.0746262,0.045155,0.0103066,0.0140193,0.0384035,0.0462975,0.0183177,0.0167739,0.0146539,0.0457601,0.0318338,0.0363768,0.00983215,0.0187652,0.0267927,0.0275448,0.0320959,0.020359,0.0323252,0.00706101,0.015914,0.0387778,0.0160066,0.0222033,0.0259315,0.0131808,0.0234934,0.0257923,0.0232012,0.0256928,0.0360013,0.0239376
923,0.0299694,0.0249874,0.0108633,0.0317079,0.0282582,0.00361941,0.0259994,0.0753155,0.0452782,0.00754469,0.0163393,0.0385231,0.0465433,0.0235977,0.0177352,0.0151081,0.0457967,0.0313881,0.0367284,0.00941167,0.0186355,0.0266039,0.0274415,0.0319154,0.020337,0.0319505,0.00657675,0.0155524,0.0388641,0.0160523,0.0228821,0.0253832,0.0135474,0.0235541,0.0256611,0.0230828,0.0257439,0.0359889,0.0239936
924,0.0300222,0.0249982,0.00871626,0.0315339,0.0281779,0.00408202,0.026288,0.0759372,0.0454112,0.00571757,0.0179637,0.0386095,0.0467222,0.0270732,0.0188522,0.0161932,0.0458183,0.0308908,0.0370646,0.00891913,0.018534,0.026465,0.0274375,0.0317586,0.0203543,0.0317522,0.00614499,0.0150956,0.0390977,0.0161746,0.0236126,0.0245987,0.0140564,0.0235904,0.0255384,0.0229434,0.0255072,0.0359936,0.0239554
925,0.0300362,0.024973,0.00833297,0.0317376,0.028172,0.00449669,0.0266272,0.0765999,0.0455179,0.00483757,0.0181436,0.0386216,0.0468494,0.0281699,0.01981,0.0172292,0.0457943,0.0303456,0.0373523,0.00837469,0.0185196,0.0264356,0.0274842,0.0316652,0.0203981,0.0317198,0.0058741,0.0146839,0.0394431,0.0162874,0.0243262,0.0239833,0.0144252,0.0235647,0.025422,0.0228441,0.0250882,0.0359748,0.0241131
926,0.0299676,0.0248835,0.00974247,0.0323419,0.0282386,0.0049176,0.0270238,0.0772474,0.0455863,0.005482,0.016689,0.0386656,0.0469451,0.0273005,0.0201086,0.017612,0.0457495,0.0296986,0.0375913,0.00771933,0.0186458,0.0265142,0.0275726,0.0316424,0.0204635,0.0315799,0.00524688,0.0144724,0.0398347,0.0163199,0.0248908,0.0233019,0.0147031,0.0234989,0.0253459,0.0227941,0.024597,0.035919,0.0242838
927,0.0298123,0.0247973,0.0122836,0.0332919,0.0283895,0.00528632,0.0274933,0.0778105,0.0455778,0.00775983,0.014294,0.0387088,0.0469963,0.0250644,0.0198636,0.0177451,0.0454545,0.0289992,0.0377465,0.00699809,0.0188281,0.0266638,0.0277123,0.0316939,0.0205667,0.0315344,0.00499138,0.0144958,0.040267,0.0162415,0.0255028,0.0225724,0.0150268,0.0233847,0.0253038,0.0228245,0.024156,0.0357918,0.0244603
928,0.029541,0.0247656,0.0158198,0.0344419,0.0285903,0.00562058,0.0280832,0.0782551,0.0454835,0.0116215,0.0118532,0.0387174,0.0470134,0.022029,0.0197077,0.0190199,0.0449869,0.0285132,0.0378184,0.00621678,0.018807,0.0268054,0.0279491,0.0318506,0.0207605,0.0316729,0.00482528,0.0146945,0.040654,0.0160154,0.0261556,0.0218862,0.0155978,0.0232514,0.0252778,0.0229635,0.0238434,0.0355654,0.0240615
929,0.0292066,0.0247569,0.0201117,0.0355707,0.0287961,0.00593297,0.0288125,0.0785603,0.0453049,0.0162586,0.00993124,0.0386825,0.0470055,0.0187475,0.0202648,0.022418,0.0445078,0.0279751,0.0378396,0.00543431,0.0188526,0.0268696,0.028234,0.0320916,0.0210349,0.0319792,0.00453625,0.0149363,0.0409238,0.0156514,0.026796,0.0212596,0.0165452,0.0231379,0.0253288,0.0231816,0.023696,0.0352368,0.023925
