Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
311,0.0358891,0.00633413,0.00739354,0.0471054,0.0517537,0.0106449,0.0741271,0.0250939,0.00526957,0.0111942,0.00862185,0.0410363,0.00888022,0.00935163,0.0042365,0.014985,0.00820647,0.0189617,0.00488302,0.0105133,0.024733,0.0505572,0.00851142,0.0679804,0.0493477,0.00236035,0.0117823,0.0214187,0.0575562,0.0105424,0.0124077,0.0132911,0.0150996,0.00232727,0.00276106,0.00234232,0.00815282,0.0355022,0
312,0.0356939,0.00628507,0.00739238,0.0469536,0.0516017,0.0106211,0.0738756,0.0249243,0.00520283,0.0111593,0.00868013,0.0411037,0.0089481,0.0093784,0.00422002,0.0150353,0.00804046,0.0189038,0.00484357,0.0104207,0.0245299,0.0502799,0.008571,0.0677664,0.0492797,0.00233179,0.0115734,0.0213616,0.057522,0.0105877,0.0122812,0.0132331,0.0152219,0.00245288,0.00260373,0.00227503,0.00801082,0.0353942,0
313,0.0355532,0.00621862,0.00738477,0.0468401,0.0513023,0.0105124,0.0735891,0.0247763,0.00511804,0.0111266,0.00872635,0.041115,0.00899826,0.00942218,0.00421343,0.0150673,0.00797862,0.0188298,0.00475589,0.0102305,0.0243529,0.0500674,0.00861657,0.0675349,0.0492438,0.00229032,0.0113452,0.0213069,0.0575481,0.0106466,0.0122434,0.013203,0.0153367,0.00247437,0.00248244,0.00233153,0.0078722,0.0352896,0
314,0.0354209,0.00606162,0.00737801,0.0468289,0.0512988,0.0104521,0.0732855,0.0246256,0.00497498,0.0111023,0.00879082,0.0411823,0.00900561,0.0094534,0.00420945,0.0150987,0.0079863,0.0187358,0.00462751,0.0099218,0.0242077,0.0499093,0.0086622,0.0672558,0.0491753,0.00221702,0.0111245,0.0212546,0.0575972,0.0106903,0.0122413,0.0131755,0.015446,0.00237378,0.00237408,0.00246055,0.0077031,0.0351998,0
315,0.0352912,0.00600015,0.00735834,0.0467767,0.0512088,0.0103519,0.0729544,0.02446,0.00477884,0.011075,0.00891976,0.0412222,0.00894604,0.00951539,0.00422285,0.0151217,0.00807527,0.0185924,0.00447163,0.00984346,0.0240658,0.0497427,0.00872424,0.0669391,0.0490543,0.00214538,0.0109281,0.0212156,0.0576527,0.0107105,0.0121796,0.013138,0.0155613,0.00232268,0.00223044,0.00260531,0.0074979,0.0351393,0
316,0.0351543,0.00611243,0.00731197,0.0466108,0.0508991,0.0102579,0.072584,0.024267,0.00453193,0.0110366,0.00908984,0.0411957,0.00878377,0.00959427,0.00427658,0.0151272,0.00812187,0.0183912,0.00428284,0.00994019,0.0239233,0.0493967,0.00882211,0.0665916,0.0489958,0.00208758,0.0107439,0.0211834,0.0576696,0.0107076,0.0120399,0.0131068,0.0156839,0.0023326,0.00209468,0.0027483,0.00729622,0.0350825,0
317,0.0350232,0.00608282,0.00724865,0.0464533,0.0505036,0.0101737,0.0721894,0.0240523,0.0042351,0.0109885,0.00911802,0.0410216,0.00874744,0.00966722,0.00434755,0.0151291,0.00810105,0.0181988,0.0040923,0.00987449,0.0237724,0.0491242,0.00895277,0.0662198,0.0489341,0.00202307,0.0105574,0.0211527,0.057692,0.0106963,0.011892,0.0130816,0.0158062,0.00225888,0.00195497,0.00288447,0.00711203,0.0350395,0
318,0.0348864,0.00596092,0.00717714,0.0463911,0.0503165,0.0101098,0.0717496,0.0238127,0.0039445,0.0109339,0.00920379,0.0408207,0.00885225,0.00974068,0.00441287,0.015124,0.00805269,0.0180493,0.00389246,0.009857,0.0236284,0.0488197,0.00908706,0.0658364,0.0487072,0.00197658,0.010358,0.021108,0.0577187,0.0106682,0.011783,0.0131128,0.0159127,0.00213018,0.00184093,0.00299886,0.00695363,0.0350094,0
319,0.0347405,0.00579973,0.0070908,0.0463267,0.0499932,0.0100366,0.0712485,0.0235027,0.00368826,0.0108772,0.00934497,0.0407208,0.00892448,0.00980894,0.00446877,0.0151325,0.00799731,0.0179014,0.00367652,0.00963322,0.0235211,0.0484671,0.00922282,0.0654157,0.048374,0.0019303,0.0101294,0.0210476,0.0576927,0.010635,0.0116843,0.0130379,0.0159833,0.00205841,0.00178214,0.00308543,0.00678777,0.034981,0
320,0.0345743,0.00562984,0.00701123,0.046175,0.049457,0.00993989,0.0707123,0.0231433,0.00343793,0.010825,0.00950703,0.0406416,0.00893898,0.00982881,0.00461432,0.0151419,0.00794424,0.0177457,0.0034647,0.00944053,0.0233901,0.0480686,0.00936333,0.0649593,0.0481572,0.00186348,0.00987768,0.0209672,0.0576392,0.0105833,0.0116521,0.0127932,0.0160035,0.00196188,0.00173694,0.00313383,0.00665899,0.0349647,0
321,0.0344234,0.00548822,0.00692858,0.0459934,0.04905,0.00986406,0.070142,0.0228286,0.00318544,0.0107792,0.00970699,0.040569,0.00893554,0.00982379,0.00485668,0.0151508,0.0079155,0.017596,0.00327208,0.00930166,0.0232413,0.0475945,0.0095125,0.0644547,0.0481328,0.00180473,0.00963422,0.0208787,0.0576362,0.0104869,0.011648,0.0125484,0.0159945,0.00188622,0.00170483,0.00311563,0.00654648,0.034952,0
322,0.0343102,0.00538661,0.00682368,0.0458186,0.0487882,0.00979184,0.0695346,0.0226532,0.00292931,0.0107383,0.00989199,0.0405044,0.00901559,0.00980795,0.00495502,0.0151666,0.00791419,0.0174909,0.00313042,0.00916882,0.0231106,0.0470806,0.00969856,0.0639231,0.0480675,0.00173239,0.00940543,0.0207933,0.0576148,0.0103751,0.0116211,0.0124096,0.0159905,0.00175717,0.00170527,0.00307037,0.00643991,0.0349601,0
323,0.0341826,0.00530178,0.0067197,0.0456107,0.0483979,0.00970331,0.0688863,0.0224857,0.00269208,0.0106831,0.009984,0.0404006,0.00910264,0.00981951,0.00487368,0.0151782,0.00793999,0.017451,0.0030543,0.00903439,0.0229912,0.0467118,0.00986446,0.0633655,0.0479269,0.00168427,0.00917705,0.0206939,0.0575586,0.0102896,0.0115983,0.0123179,0.0160139,0.00163111,0.00179254,0.00303339,0.0063779,0.0349881,0
324,0.0340038,0.00519792,0.00658721,0.0454028,0.0478853,0.00963983,0.068214,0.0223055,0.00249524,0.0106255,0.0100511,0.0402871,0.00919357,0.00988508,0.00465044,0.0151922,0.00795502,0.01738,0.00301734,0.00890969,0.0228869,0.0461928,0.0100014,0.0627641,0.0476958,0.00169041,0.00895077,0.0205724,0.0575419,0.0102683,0.0115855,0.0122206,0.0160507,0.00154716,0.00198527,0.0030323,0.00635275,0.0350175,0
325,0.0337799,0.00514311,0.00643491,0.0451936,0.0473411,0.00954508,0.0675062,0.0220936,0.00235436,0.0105556,0.010126,0.0401688,0.00933307,0.00995713,0.00469972,0.0152021,0.00802221,0.0173116,0.00300098,0.00879575,0.0227726,0.0455801,0.010072,0.062103,0.0475257,0.00174214,0.00875132,0.020454,0.0575499,0.0103289,0.0115163,0.0121068,0.0160928,0.0015147,0.00195487,0.00310734,0.00634398,0.0350234,0
326,0.0335505,0.00521105,0.00627024,0.0450112,0.0467634,0.00945096,0.0667552,0.0218944,0.00222921,0.0104706,0.0102348,0.0400154,0.00950238,0.00996499,0.00489263,0.0151852,0.00812353,0.0172685,0.00298891,0.00866699,0.022659,0.0450794,0.0101292,0.0613919,0.0473781,0.00183109,0.00853971,0.0203562,0.0575421,0.0104746,0.0114481,0.0119782,0.0161239,0.00157241,0.00179718,0.00326704,0.00633641,0.0350298,0
327,0.0332769,0.00536358,0.00609193,0.0448457,0.0461677,0.00937828,0.065958,0.021811,0.00214016,0.0103038,0.0103808,0.0398916,0.009656,0.0099548,0.00514568,0.015136,0.00823794,0.017225,0.0030012,0.00851893,0.0225427,0.0445199,0.0101802,0.0606214,0.0472441,0.00193094,0.00834028,0.0202384,0.0575132,0.0107,0.0114385,0.0118959,0.0161278,0.00169616,0.00175963,0.00339615,0.0063384,0.0350216,0
328,0.0329742,0.00532585,0.00590605,0.0446609,0.0455294,0.00928271,0.0651123,0.0219346,0.00207382,0.0100508,0.0105349,0.0397579,0.00986778,0.00995726,0.00540957,0.0150679,0.00834536,0.0171646,0.00304926,0.00833237,0.0224083,0.0438675,0.0102192,0.0597948,0.04728,0.00202714,0.00812534,0.0200818,0.0574767,0.0109545,0.0114703,0.0118477,0.0161194,0.00181021,0.00159662,0.00357655,0.00635022,0.0349805,0
329,0.0326766,0.0052232,0.00571686,0.0443849,0.0448733,0.00921865,0.0642185,0.0219841,0.00204277,0.00986628,0.0106877,0.0396553,0.0101104,0.00991014,0.00569143,0.015002,0.0084885,0.0171043,0.00311342,0.00812276,0.0222218,0.0431455,0.010279,0.0589491,0.0473197,0.00213105,0.0078902,0.0198949,0.057355,0.0112036,0.0115521,0.0117804,0.0160834,0.00201684,0.00150076,0.00380847,0.00632769,0.0349027,0
330,0.0324032,0.0051592,0.00553115,0.0440349,0.0441557,0.00920143,0.0632731,0.0219168,0.00205494,0.00977412,0.0107966,0.0395473,0.0103063,0.00977626,0.00583835,0.0149374,0.00860326,0.0170535,0.00320613,0.00789882,0.0220422,0.042387,0.010374,0.0580291,0.0473364,0.00222926,0.00764318,0.0196539,0.0572335,0.0114271,0.0116789,0.0116541,0.016028,0.00227629,0.00157608,0.00409351,0.00626548,0.0348147,0
331,0.0321755,0.00516017,0.00535887,0.0437202,0.0433979,0.00922161,0.06226,0.0217915,0.00213031,0.00971351,0.0109067,0.0394529,0.0105,0.00964778,0.00587428,0.0149105,0.0087293,0.0169932,0.00335306,0.00767883,0.0218985,0.0415994,0.0105172,0.0570548,0.0473049,0.00233702,0.00740276,0.0193996,0.0571341,0.0116049,0.0118275,0.0114858,0.0159659,0.00252032,0.00162888,0.00436138,0.00619534,0.0347295,0
332,0.0319549,0.00518785,0.00521593,0.043539,0.0426062,0.00926308,0.0612061,0.0215851,0.00223786,0.00953805,0.0110469,0.039361,0.0107182,0.00955669,0.00594384,0.0149301,0.00880587,0.0169618,0.00351306,0.00750004,0.021774,0.0408029,0.0107059,0.0560562,0.0472335,0.00247689,0.00717102,0.0191937,0.0570726,0.0117507,0.0119742,0.0113501,0.0159011,0.00272173,0.00190874,0.00458482,0.00613837,0.0346494,0
333,0.031685,0.00523536,0.0050783,0.0434572,0.0417813,0.00930711,0.0601321,0.021314,0.00236629,0.00940014,0.0111813,0.0392699,0.0109988,0.00945932,0.00595886,0.0149053,0.00885892,0.0169914,0.00364424,0.00734245,0.0216929,0.0399831,0.0109121,0.0550009,0.0471259,0.00264745,0.00694688,0.0189935,0.0570134,0.0119148,0.0120815,0.0112537,0.0158534,0.00289755,0.00200394,0.00477533,0.00607676,0.034584,0
