Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
640,0.0299218,0.0329652,0.0114649,0.024502,0.0209691,0.0295666,0.0297476,0.0359897,0.0486471,0.014512,0.00962074,0.0433049,0.0351749,0.0210206,0.0169815,0.0359696,0.0469863,0.0307172,0.0285633,0.0137519,0.0377808,0.0214693,0.0131018,0.0303956,0.0541446,0.0303864,0.0155432,0.0103683,0.0273324,0.0280753,0.00731169,0.0169865,0.0122992,0.0211269,0.0269466,0.0301662,0.0390562,0.026197,0.0248762
641,0.0299771,0.0330803,0.0109918,0.0244026,0.0213033,0.0292754,0.0299086,0.0362626,0.0487413,0.0150708,0.0100406,0.0432121,0.0353183,0.02068,0.0171432,0.0378374,0.0473618,0.030643,0.0285355,0.0140775,0.0377459,0.0214862,0.0129777,0.0298374,0.0540544,0.0303511,0.0159172,0.0105303,0.0272835,0.0281328,0.00819661,0.0173252,0.0122072,0.0210948,0.0270705,0.0302072,0.0385594,0.0258729,0.0249649
642,0.0300506,0.0330974,0.010619,0.0249392,0.0215617,0.0290053,0.0300241,0.036575,0.0489104,0.0154454,0.0100553,0.0431644,0.0354314,0.0202051,0.0168964,0.0394077,0.0477532,0.0307391,0.0285524,0.0142512,0.0376092,0.021438,0.0128309,0.0291924,0.0538307,0.0303123,0.0161414,0.0108258,0.0272614,0.0280824,0.00884487,0.0180581,0.0121064,0.0209859,0.0275313,0.0301824,0.0380403,0.0255266,0.025046
643,0.0301127,0.0330605,0.010459,0.0255468,0.0217431,0.0288375,0.0300627,0.0369128,0.049171,0.0159229,0.00978282,0.0431473,0.0354559,0.0195008,0.0163402,0.0405022,0.048136,0.030838,0.0286425,0.0143209,0.0373441,0.0213174,0.0126962,0.0284444,0.0534516,0.0302259,0.0162276,0.0112788,0.0272828,0.0279919,0.00910012,0.0192107,0.0119955,0.0207832,0.0279331,0.0301304,0.0375586,0.0251884,0.0250476
644,0.030156,0.0329889,0.0103781,0.0260461,0.0219251,0.0287215,0.0299989,0.0372204,0.0494639,0.0165638,0.00906427,0.0430962,0.0354528,0.0185693,0.0157068,0.0410933,0.0485021,0.0309107,0.0288839,0.0144966,0.0368364,0.0211391,0.0126249,0.0276169,0.0531489,0.0302116,0.015816,0.0118832,0.0271926,0.0279161,0.0089062,0.0206058,0.0119511,0.020668,0.028067,0.0298037,0.037061,0.0249076,0.0249211
645,0.0301914,0.032895,0.0104602,0.0265972,0.0221384,0.0285764,0.0298884,0.0374903,0.0497528,0.0173545,0.0079608,0.0429623,0.0354713,0.0174715,0.0151603,0.0411746,0.048874,0.0309952,0.0291532,0.0146064,0.0363588,0.0209054,0.01269,0.0267417,0.0529369,0.0302416,0.0153732,0.0126039,0.0269687,0.0278137,0.00830352,0.0220061,0.0119551,0.020639,0.0279933,0.0295431,0.0364099,0.0246676,0.0246491
646,0.0302014,0.0327279,0.0113205,0.0273344,0.0221945,0.0284199,0.0297813,0.0377846,0.0500549,0.018382,0.00654749,0.042725,0.0353583,0.0163168,0.0148282,0.0405484,0.0492361,0.0310316,0.029265,0.0146421,0.0359795,0.0206674,0.0128951,0.0258404,0.0527838,0.0303247,0.0154021,0.0132967,0.0266592,0.0274621,0.00742209,0.0230447,0.0119392,0.0206495,0.0280747,0.0293884,0.0357415,0.024504,0.024212
647,0.0301824,0.0325324,0.0128225,0.0282859,0.0221213,0.0282107,0.0296673,0.0381155,0.0502647,0.0195269,0.0051386,0.0423515,0.0353811,0.0152191,0.0149851,0.0389008,0.0495431,0.0310013,0.0292854,0.0146547,0.0356637,0.0204335,0.0132406,0.0249683,0.0526265,0.030503,0.0153845,0.0137841,0.0265028,0.026849,0.00651213,0.0235795,0.0119314,0.0205092,0.0282298,0.0292708,0.0349893,0.0244097,0.0236048
648,0.030158,0.0323811,0.0147061,0.0293039,0.0220994,0.0279366,0.0295318,0.0384516,0.0503767,0.0203303,0.00415396,0.0418277,0.0355171,0.0143113,0.0154265,0.0361807,0.0498214,0.0309216,0.0292357,0.0146429,0.0350719,0.020187,0.0137117,0.0241323,0.0523133,0.0307191,0.015092,0.0140146,0.0264628,0.0261886,0.00596093,0.0234947,0.0119365,0.0204171,0.0283407,0.0291252,0.0343254,0.02431,0.0229328
649,0.0301163,0.0322962,0.0166752,0.0298279,0.0221077,0.0274528,0.0294429,0.0387345,0.0504105,0.0205354,0.00399426,0.0411962,0.0357544,0.013737,0.0160039,0.0328687,0.0500376,0.0308089,0.0291835,0.0145749,0.0342859,0.0199542,0.0142374,0.0233569,0.0520052,0.0310116,0.0146164,0.0139916,0.0265158,0.0254688,0.00589252,0.0229146,0.0119391,0.0204437,0.0283827,0.0289762,0.0335294,0.0243,0.0225434
