Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
959,0.0274236,0.0296556,0.023163,0.0391221,0.0256917,0.0030595,0.0129802,0.0681899,0.0456754,0.0191398,0.0134476,0.0384216,0.0334483,0.0131773,0.0145046,0.0243298,0.0332366,0.032582,0.0371935,0.0166735,0.0398393,0.030765,0.0317675,0.0155935,0.0178728,0.0597093,0.0303138,0.0315079,0.0102459,0.0436519,0.0237956,0.014095,0.0198961,0.0328653,0.0166204,0.0329087,0.0331127,0.0294599,0.0254889
960,0.0280636,0.0301218,0.0228132,0.0384939,0.0260044,0.003943,0.0123093,0.0674368,0.0457175,0.0190153,0.0133996,0.0379542,0.0341623,0.0135931,0.0145086,0.0245098,0.0334254,0.0337294,0.0369196,0.0170403,0.0403859,0.0311862,0.0319174,0.0150477,0.0170673,0.0607891,0.0299727,0.031902,0.0101863,0.0437425,0.0247374,0.0135646,0.0212968,0.0326663,0.0161917,0.0334153,0.0337292,0.0301359,0.0258193
961,0.0285658,0.0305578,0.0224819,0.0378128,0.0260747,0.00498822,0.0117522,0.0665711,0.0457401,0.0186277,0.0132649,0.0380001,0.0348193,0.0138608,0.0146905,0.0246759,0.0339434,0.0348828,0.0366527,0.0172249,0.0404964,0.0314579,0.0318829,0.0146986,0.0160548,0.0614612,0.0297259,0.0319531,0.0102483,0.043555,0.0254205,0.013192,0.0224859,0.0323804,0.0159477,0.0337003,0.0338304,0.0307517,0.0261288
962,0.0288803,0.0308851,0.0221176,0.0371409,0.0259996,0.00617831,0.0114522,0.0655626,0.045763,0.0181129,0.0132847,0.0386521,0.0354619,0.0139825,0.0150913,0.0247886,0.0347478,0.0360198,0.0363669,0.017455,0.0400502,0.0316459,0.0316801,0.0145236,0.0149686,0.0617725,0.0296002,0.0318332,0.010349,0.0433068,0.0257945,0.0131183,0.023299,0.0320184,0.0158635,0.0337352,0.0334244,0.0312882,0.0263571
963,0.0290065,0.0311037,0.0216836,0.0364097,0.0258089,0.00746788,0.0115614,0.0644631,0.0458144,0.017805,0.0134941,0.0390621,0.0360342,0.0139363,0.015646,0.0248694,0.0358107,0.0370281,0.0360711,0.0177269,0.039732,0.0317716,0.0313443,0.0144876,0.0139125,0.0617956,0.0295958,0.0316148,0.0102108,0.0433032,0.0261353,0.0130333,0.0236908,0.0315625,0.0159527,0.0335685,0.032949,0.0317333,0.0264911
964,0.0289884,0.0312218,0.0212189,0.0357148,0.0254966,0.00874555,0.012179,0.0633132,0.0458685,0.0172631,0.0136628,0.0391997,0.0364144,0.0141315,0.0162385,0.025038,0.0370116,0.0378525,0.0358354,0.0181072,0.0398041,0.0318934,0.0308894,0.0145315,0.0130397,0.0615756,0.0296657,0.0314551,0.00999917,0.0436213,0.0264116,0.0129968,0.0237484,0.0309999,0.0162608,0.0332063,0.0325505,0.0321207,0.0265191
965,0.0288495,0.0312739,0.0207573,0.0349142,0.0251037,0.00996233,0.0133308,0.0619469,0.0459731,0.0167928,0.0137297,0.0392435,0.0364141,0.0144387,0.0167446,0.0251873,0.0382198,0.0384487,0.0356524,0.0186197,0.0397145,0.0320849,0.0303519,0.0146313,0.0125672,0.0611746,0.0298286,0.0313274,0.00975551,0.0432261,0.0267262,0.0130745,0.0235945,0.0303386,0.0167165,0.0326627,0.0319568,0.0324487,0.0264253
966,0.0286781,0.0312438,0.0203827,0.0341765,0.024672,0.0112787,0.0149654,0.0604187,0.046189,0.0163258,0.0138322,0.0392794,0.0361931,0.0147604,0.0170982,0.0252622,0.0394004,0.0388318,0.0354804,0.019086,0.0389999,0.0323649,0.0297264,0.0148014,0.0125465,0.0606053,0.0300324,0.0310519,0.00955098,0.0423071,0.0269431,0.0132415,0.0233608,0.029642,0.0173042,0.0319979,0.0311821,0.0327079,0.0262592
967,0.028464,0.0311388,0.0199828,0.0334833,0.0242379,0.0126977,0.0169821,0.0588571,0.0465346,0.0158503,0.0137787,0.0390023,0.0357967,0.0151523,0.017259,0.025242,0.0406275,0.0389714,0.0353178,0.0194232,0.03913,0.0327099,0.0290402,0.0150384,0.0130559,0.059903,0.0303218,0.0304992,0.00950022,0.041381,0.0270697,0.0135142,0.0230667,0.0289391,0.017997,0.0311931,0.0303673,0.0328896,0.0260841
968,0.0282498,0.0309791,0.0194256,0.0327871,0.0238593,0.014219,0.0192512,0.057154,0.0467414,0.0155469,0.0137225,0.0387722,0.0352269,0.0156139,0.0172341,0.0251148,0.0416705,0.0388185,0.0349794,0.019675,0.0401409,0.0331431,0.028345,0.0153034,0.0140555,0.0592226,0.0306856,0.0298998,0.00944522,0.0410356,0.0271337,0.0138382,0.0226409,0.0282092,0.0188021,0.030144,0.0295533,0.0329981,0.0259551
969,0.0280482,0.0307561,0.0189048,0.0323227,0.0235228,0.0158743,0.021671,0.0550344,0.0467812,0.0151779,0.0137148,0.0385618,0.034521,0.0162131,0.0170898,0.0249229,0.0424683,0.0384032,0.0345498,0.019991,0.0395742,0.0336125,0.0276962,0.0156232,0.0154484,0.0585794,0.0310841,0.0294297,0.00932681,0.0407629,0.0272745,0.0141699,0.0221752,0.0280257,0.019638,0.0290712,0.028783,0.0329898,0.0259039
970,0.0278953,0.0304962,0.0184616,0.0320479,0.0232822,0.0175457,0.0241709,0.0525806,0.0466561,0.0147776,0.0137948,0.038696,0.0337503,0.0169927,0.0170565,0.0247351,0.0430743,0.0378039,0.034045,0.0201681,0.0382511,0.0340121,0.0270467,0.0159988,0.0170786,0.0577474,0.0314822,0.0292146,0.00933513,0.040237,0.0275073,0.0145114,0.0218287,0.0277449,0.0204842,0.0280171,0.0280391,0.0328257,0.0260033
971,0.0277491,0.0301897,0.0180632,0.0318896,0.0230315,0.0192131,0.0266758,0.0498558,0.0465553,0.0143738,0.0140002,0.0390471,0.0329809,0.0179816,0.0172235,0.0245347,0.0434783,0.0370346,0.0334173,0.0204658,0.0379931,0.0342446,0.0264965,0.0164394,0.0188868,0.0568438,0.031865,0.028708,0.0094904,0.0394786,0.027733,0.0148292,0.0216503,0.0275461,0.0213463,0.0269236,0.0272866,0.0325599,0.0262902
972,0.0276415,0.029828,0.0176075,0.0318422,0.0228445,0.020856,0.0291304,0.0469792,0.046374,0.0140152,0.0143295,0.0395169,0.0322581,0.0191426,0.017502,0.0241362,0.0437375,0.0361363,0.0326179,0.0209125,0.0388741,0.0346093,0.0260362,0.0168964,0.0207915,0.0557951,0.032246,0.028062,0.00973939,0.0391748,0.0280557,0.01513,0.0213993,0.0273053,0.0221992,0.0259225,0.0266414,0.0324821,0.0267436
973,0.027569,0.0294474,0.0171868,0.0319639,0.0229537,0.0224481,0.0314898,0.0439445,0.0459903,0.0138427,0.0148053,0.0399606,0.0316236,0.0202468,0.0178971,0.0236179,0.0438705,0.0351622,0.0316571,0.0213057,0.0384584,0.0350904,0.0256381,0.0173178,0.0227368,0.0548673,0.0326162,0.0275235,0.0100455,0.0388505,0.0285675,0.0154121,0.0210858,0.0272435,0.023102,0.0249392,0.0262074,0.0325678,0.0273626
974,0.0275169,0.0290848,0.0167871,0.0320421,0.0231814,0.0239463,0.0337538,0.0408202,0.0453816,0.0140028,0.0153799,0.0402025,0.0310945,0.0214682,0.0184723,0.0230253,0.0438339,0.0342126,0.0306416,0.0215582,0.0383368,0.0355405,0.0253259,0.0176812,0.0246403,0.0540464,0.0329616,0.0267009,0.0103926,0.0385164,0.0290301,0.0156498,0.0207084,0.0271732,0.0237211,0.0240055,0.0259612,0.0326617,0.0281454
975,0.0274189,0.0287131,0.0164569,0.0320371,0.023493,0.0252939,0.0358207,0.037695,0.0446706,0.0137863,0.015981,0.0405458,0.0306722,0.0229059,0.0191193,0.0224803,0.0437445,0.0333328,0.0296071,0.021965,0.0384364,0.0359339,0.0251039,0.0179308,0.0264437,0.0531144,0.033214,0.0255391,0.0107094,0.0383194,0.029448,0.0158116,0.0202563,0.0269815,0.0240823,0.0232047,0.0258371,0.0326684,0.0290761
976,0.0272754,0.0283726,0.0162715,0.0320404,0.0238044,0.0264235,0.0376415,0.0347166,0.0438887,0.0134862,0.0164901,0.0411634,0.0303423,0.0244791,0.0195516,0.0219494,0.0435996,0.0325837,0.0285912,0.0223679,0.0385945,0.0363957,0.0249212,0.0180499,0.0281277,0.0520776,0.0333474,0.0245003,0.0109223,0.0381949,0.0299077,0.0158514,0.0196423,0.026536,0.0243693,0.0225216,0.0258406,0.0327354,0.0301414
977,0.0271072,0.0280941,0.015991,0.0320995,0.0241203,0.0272949,0.0392437,0.0320249,0.0429772,0.0131429,0.0168262,0.0416229,0.0300806,0.0259076,0.0198106,0.0215738,0.0433991,0.0320173,0.0276578,0.0228251,0.0387989,0.0369979,0.0247807,0.0180353,0.0296721,0.0510568,0.0334154,0.0237888,0.0109248,0.0380744,0.0304008,0.0157308,0.0192514,0.0257741,0.0244564,0.0219503,0.0259571,0.0326617,0.0313016
