Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
251,0.0208242,0.0265998,0.0313639,0.0454586,0.0324574,0.0250694,0.0390538,0.0268935,0.0253694,0.0235289,0.0101486,0.0412914,0.0386191,0.00568607,0.00915761,0.0313503,0.0156582,0.027549,0.0264386,0.0199015,0.0381377,0.0228166,0.041868,0.0381468,0.0466349,0.0267235,0.028235,0.0388661,0.0115021,0.0325306,0.0179259,0.00938434,0.0234707,0.0460408,0.0314074,0.0210893,0.0205981,0.0271793,0.0370348
252,0.0177738,0.0258227,0.0313733,0.0450516,0.0319411,0.0254139,0.0423866,0.0259061,0.0255228,0.0233755,0.0121795,0.040908,0.0365024,0.00642231,0.0111611,0.032057,0.0143422,0.0272422,0.0265489,0.0201985,0.0390331,0.0234095,0.0416054,0.0372588,0.0489615,0.0255944,0.0281661,0.0383505,0.0117464,0.0335336,0.0170016,0.00917726,0.0233299,0.0461296,0.0302613,0.021321,0.0210603,0.0280618,0.0338463
253,0.0164162,0.0250528,0.0313032,0.0442223,0.0318563,0.0257951,0.0458878,0.0255981,0.0253773,0.0230904,0.0150688,0.0403445,0.0345617,0.00819471,0.0129609,0.0327254,0.0133822,0.0270436,0.0262617,0.0203335,0.0393957,0.0226981,0.0411791,0.0363775,0.0510994,0.0247881,0.0282625,0.037444,0.0120423,0.0341034,0.016406,0.0101732,0.0232973,0.0460482,0.0292426,0.0214531,0.0213912,0.0290826,0.0307181
254,0.0175605,0.0245928,0.030725,0.0431561,0.0321413,0.0261672,0.0493006,0.025973,0.0251056,0.0227396,0.0171176,0.0398517,0.0346355,0.0110351,0.0138247,0.0333854,0.0126187,0.027126,0.0260336,0.0202589,0.0392135,0.0217986,0.0406805,0.035494,0.0529372,0.024206,0.0286339,0.036407,0.0123104,0.0347853,0.0155806,0.0120684,0.0234177,0.0454332,0.0285542,0.0216187,0.0217988,0.0301995,0.029304
255,0.0205991,0.024881,0.0300138,0.0419939,0.0328133,0.0263843,0.0524828,0.0269023,0.0247613,0.0227137,0.017627,0.0390126,0.036316,0.0140732,0.0137743,0.0340468,0.0119902,0.0275578,0.0259327,0.0200437,0.0395502,0.0218664,0.0402614,0.0347362,0.0544199,0.0235887,0.0291179,0.0353997,0.0124412,0.0354658,0.0146168,0.0140169,0.0236752,0.0447252,0.0282197,0.0218959,0.0223959,0.0312387,0.0301208
256,0.0232662,0.0256883,0.0294295,0.0409106,0.0338565,0.0263192,0.0554851,0.028115,0.0242796,0.0225296,0.0170336,0.0380309,0.0381116,0.0161547,0.0132185,0.0346809,0.0115186,0.0281009,0.0261093,0.0198865,0.0405571,0.0231858,0.0399908,0.0343352,0.0555794,0.02297,0.0294636,0.0344963,0.0123807,0.0357291,0.0138923,0.0155394,0.0240005,0.0440052,0.0282284,0.0222766,0.0229783,0.0318819,0.0323899
257,0.0236472,0.0262762,0.0291163,0.0400718,0.0351345,0.0259535,0.0581025,0.0293933,0.023658,0.0222863,0.016253,0.0375556,0.039016,0.0167968,0.0126193,0.0352611,0.0108919,0.0283657,0.0264006,0.0200665,0.0417094,0.0252309,0.0398289,0.0343227,0.0564673,0.0224203,0.0294944,0.0336264,0.012254,0.0360195,0.0136385,0.0164571,0.0244057,0.0432187,0.0284143,0.0226754,0.0235558,0.0319591,0.0349169
258,0.0223989,0.0263514,0.0289203,0.0395109,0.0364074,0.0255363,0.0603241,0.0306185,0.0234668,0.0222322,0.0160296,0.0375992,0.039397,0.016591,0.0122659,0.0357573,0.0104839,0.0287164,0.0267109,0.0204624,0.0425098,0.0273743,0.039659,0.0344851,0.0570681,0.021877,0.0293444,0.0330023,0.0121887,0.0365181,0.0138032,0.0169292,0.0248646,0.0424771,0.0286266,0.0230022,0.0240547,0.0315365,0.036846
259,0.021491,0.0259259,0.0288276,0.0392015,0.0376049,0.0252413,0.0622262,0.0317141,0.0236963,0.0220598,0.0163117,0.0376192,0.0397438,0.0162585,0.012197,0.0361911,0.0104806,0.0294627,0.0271781,0.0208156,0.0427909,0.0296582,0.0394119,0.0345075,0.0573971,0.0214847,0.029257,0.0325552,0.0122407,0.0365878,0.0143314,0.0170319,0.0253374,0.0418647,0.0288039,0.0234269,0.024382,0.0307909,0.0379675
260,0.0217173,0.0253296,0.028842,0.0391615,0.0388756,0.0249791,0.0638113,0.0326295,0.0240955,0.0216974,0.0166167,0.0373497,0.0397276,0.0161696,0.0123828,0.0364876,0.0108796,0.0302296,0.0277048,0.0212222,0.0430223,0.0321,0.0390248,0.0344058,0.0575094,0.0212953,0.0293426,0.0321649,0.0124171,0.0363691,0.0152965,0.0168468,0.0257125,0.0413314,0.0290142,0.0238684,0.0245237,0.0300226,0.0384437
